id,Name,ModelNumber,Price,Quantity,WarrantyStatus,DescriptionExtra,DescriptionMain,DiscountedPrice,DistributorId,Category
1,Savana 2500,2001,18831,40785,10 Year,Profound,Implemented local challenge,1952,4,Luxury
2,Aerostar,1987,72714,14079,No,moratorium,Switchable zero tolerance strategy,2300,9,SUV
3,SSR,2005,13908,49187,Yes,Advanced,Persistent user-facing monitoring,183,3,Luxury
4,Marauder,2003,50862,57088,5 Year,conglomeration,Future-proofed stable adapter,18,1,Luxury
5,Lancer,2001,75118,19919,Yes,pricing structure,Synergized contextually-based conglomeration,3375,4,SUV
6,Alliance,1983,29763,39244,3 Year,Devolved,Multi-lateral dedicated function,684,8,SUV
7,Continental Mark VII,1988,58869,63005,5 Year,Compatible,Reduced even-keeled forecast,3260,5,Sedan
8,Equinox,2012,92020,89131,5 Year,neural-net,Implemented upward-trending productivity,2510,4,Sedan
9,Sonata,1997,53952,59660,10 Year,reciprocal,Triple-buffered maximized focus group,2007,1,Sports
10,Seville,1995,47133,15564,Yes,solution-oriented,Switchable bi-directional hardware,49,1,SUV
11,Previa,1991,92670,94138,No,Devolved,Fully-configurable logistical standardization,2782,6,Family
12,Impala,2011,76289,8113,Yes,Face to face,Future-proofed discrete hardware,3044,9,Sports
13,Suburban 2500,1994,68659,22508,Yes,software,Exclusive encompassing solution,2059,4,Sports
14,MKS,2010,33231,88069,No,exuding,Programmable even-keeled workforce,1060,10,Sports
15,Tacoma,2010,25979,33819,10 Year,Open-architected,Team-oriented foreground Graphical User Interface,126,5,Family
16,Vitara,2003,39870,13400,No,24 hour,Switchable discrete analyzer,3024,1,Luxury
17,Savana,2008,45554,73545,Yes,Phased,Innovative human-resource architecture,4964,5,Family
18,Camry,2011,63143,33528,5 Year,complexity,Adaptive background matrix,1191,8,Sports
19,Club Wagon,1996,89991,68940,Yes,impactful,Digitized contextually-based policy,1281,2,Sports
20,Sienna,1999,89257,88247,3 Year,incremental,Seamless 24/7 installation,2377,6,Family
21,Electra,1987,79714,55082,No,Future-proofed,Enterprise-wide content-based budgetary management,4748,9,Sedan
22,Corsica,1993,98168,55739,3 Year,support,Synergized dedicated info-mediaries,141,10,SUV
23,C-Class,2002,43153,75822,10 Year,flexibility,Cross-platform actuating collaboration,2827,5,Family
24,SL-Class,2009,78383,34618,10 Year,discrete,Cross-platform national paradigm,1988,7,Family
25,Fifth Ave,1992,51043,41966,3 Year,structure,Multi-layered secondary hierarchy,3089,2,Sports
26,Miata MX-5,1996,59438,91885,3 Year,high-level,Re-engineered systemic methodology,2101,1,Sedan
27,S40,2007,16891,97589,3 Year,optimizing,Optional bifurcated groupware,3888,2,Family
28,Z4,2003,77626,29414,No,Enterprise-wide,Reactive 5th generation neural-net,4496,1,SUV
29,Endeavor,2011,19044,12646,5 Year,attitude-oriented,Open-architected cohesive secured line,3991,2,Family
30,F-Series,2009,84425,82387,5 Year,Enhanced,Advanced even-keeled firmware,1481,7,Sports
31,Continental,1985,66422,69155,3 Year,Cloned,Programmable homogeneous complexity,2943,1,Luxury
32,Expedition,1998,96060,55278,5 Year,Organized,Reverse-engineered well-modulated strategy,530,9,Luxury
33,Probe,1991,41712,23948,10 Year,foreground,Down-sized client-driven flexibility,4097,4,SUV
34,Navigator L,2011,58235,95609,5 Year,matrix,Function-based global knowledge base,4259,9,Luxury
35,C-Class,2003,13545,38537,Yes,Upgradable,Fundamental even-keeled success,2051,4,SUV
36,XK Series,1997,69772,83460,3 Year,superstructure,Fundamental value-added migration,673,9,Family
37,Viper RT/10,1995,82483,6785,3 Year,tangible,Triple-buffered global local area network,1164,9,Luxury
38,L300,1987,77259,95903,10 Year,Organized,Multi-channelled even-keeled firmware,4952,7,Sports
39,Dakota,2007,19688,46757,Yes,Total,Vision-oriented encompassing core,1985,9,Family
40,M3,1999,43785,37713,3 Year,fault-tolerant,Front-line radical ability,4731,8,Sports
41,Civic,1988,60319,71127,3 Year,projection,Profound national customer loyalty,2271,3,Sedan
42,Compass,2011,46221,7118,10 Year,initiative,Triple-buffered holistic application,4434,8,Sports
43,Neon,1995,77202,25172,5 Year,Advanced,Visionary exuding parallelism,1541,10,SUV
44,Tribute,2006,33472,84500,10 Year,Reactive,Down-sized eco-centric architecture,977,4,Sports
45,Jetta,1999,31415,93618,10 Year,User-friendly,Focused multimedia pricing structure,4952,5,Family
46,Lancer,2004,77793,27866,10 Year,Virtual,Triple-buffered systematic core,484,4,Luxury
47,Canyon,2009,52522,48210,3 Year,artificial intelligence,Programmable hybrid productivity,4789,2,Family
48,M,2009,51840,64305,5 Year,time-frame,Progressive asymmetric orchestration,4102,8,SUV
49,Range Rover,2012,58619,6600,5 Year,Proactive,Optional web-enabled strategy,4532,4,Luxury
50,H1,1997,86993,95075,Yes,encryption,Customizable systematic focus group,4851,10,Sports
51,Boxster,2000,37217,28524,No,model,Horizontal grid-enabled artificial intelligence,3839,2,SUV
52,Sonata,2005,99166,53410,10 Year,parallelism,Realigned 6th generation system engine,2758,2,Family
53,3500,1995,83589,47038,5 Year,Vision-oriented,Enterprise-wide zero administration flexibility,1464,3,Family
54,Ram 2500,2006,35800,41634,10 Year,analyzer,Organic context-sensitive firmware,3458,10,Sports
55,Mariner,2006,78316,10211,10 Year,service-desk,Future-proofed eco-centric matrix,95,5,Family
56,Diablo,1997,79254,75212,No,task-force,Cloned non-volatile intranet,4268,2,SUV
57,5000CS Quattro,1986,47542,41794,10 Year,Cloned,Synchronised value-added artificial intelligence,792,8,Luxury
58,Dakota,2008,87645,82882,10 Year,Inverse,Visionary mission-critical moratorium,839,8,Family
59,MKS,2010,44738,68526,No,explicit,User-centric non-volatile collaboration,1013,1,Sports
60,Accord,2008,65427,32057,5 Year,system engine,Networked logistical workforce,3494,4,Sedan
61,Sierra,2010,65356,86747,5 Year,zero defect,Decentralized radical paradigm,4486,10,SUV
62,Grand Prix,1974,56938,50631,No,bi-directional,Proactive uniform structure,849,2,Sedan
63,Vibe,2006,28765,96284,5 Year,Versatile,Visionary full-range attitude,4587,4,Family
64,F250,1998,23133,69596,10 Year,24 hour,Synchronised tertiary protocol,3059,3,SUV
65,riolet,1993,12357,11318,Yes,Multi-layered,Balanced national knowledge base,3718,10,SUV
66,LX,2007,40579,92061,10 Year,methodology,Multi-layered 5th generation system engine,3130,10,Sedan
67,911,1988,39547,67435,Yes,fault-tolerant,Horizontal uniform strategy,4639,9,Sedan
68,Genesis,2011,43489,50142,10 Year,zero tolerance,Adaptive hybrid capability,1080,7,Sports
69,Santa Fe,2005,39399,72687,Yes,Re-contextualized,Proactive grid-enabled application,421,6,Family
70,Murciélago,2007,42088,20756,No,Future-proofed,Optional heuristic benchmark,558,1,Sedan
71,Silverado 3500,2010,75462,54025,5 Year,Multi-layered,Decentralized human-resource projection,2238,4,SUV
72,Town & Country,1995,91717,96775,10 Year,conglomeration,Up-sized holistic data-warehouse,1105,9,Family
73,Mazda5,2008,10909,58789,3 Year,Customer-focused,Visionary local archive,1408,7,Family
74,Durango,2003,37717,67707,10 Year,throughput,Grass-roots bandwidth-monitored process improvement,2293,1,Luxury
75,Miata MX-5,2001,36683,14302,No,bandwidth-monitored,Cross-group intermediate infrastructure,4981,8,Sports
76,S8,2002,25657,96543,10 Year,Centralized,De-engineered discrete productivity,1691,7,Luxury
77,Bravada,1999,66287,65190,3 Year,Function-based,Persistent reciprocal orchestration,2807,5,SUV
78,Equinox,2007,71025,28386,3 Year,methodology,Centralized 4th generation alliance,3961,4,Sedan
79,Passport,2000,70466,48111,Yes,concept,Diverse full-range open architecture,213,4,Sedan
80,Escape,2006,92179,46603,3 Year,national,Synchronised actuating benchmark,2594,6,Sedan
81,Custom Cruiser,1992,74297,78901,5 Year,firmware,Innovative system-worthy throughput,1904,6,Luxury
82,XL-7,2008,21751,45516,No,policy,Digitized grid-enabled model,2110,7,Sedan
83,2500,2000,85269,52027,Yes,cohesive,Optimized analyzing standardization,4745,4,Family
84,Quest,2005,67078,78576,10 Year,executive,Open-source 24/7 core,4206,4,SUV
85,Cordia,1987,50565,86678,10 Year,database,Pre-emptive multi-state help-desk,53,1,SUV
86,Celica,1992,81877,75858,10 Year,Robust,Centralized asynchronous attitude,282,1,Family
87,C-Class,2008,99274,89811,10 Year,Compatible,User-friendly well-modulated firmware,109,1,Sports
88,M5,2010,40619,90238,3 Year,monitoring,Public-key local definition,3524,10,Family
89,Montana,2003,12291,66837,No,artificial intelligence,Digitized optimizing benchmark,4084,2,Family
90,Armada,2010,56376,16671,3 Year,fault-tolerant,Devolved incremental projection,1102,3,Family
91,C30,2008,51410,37497,No,exuding,Progressive zero defect support,4633,2,Luxury
92,L300,1988,16481,14187,10 Year,attitude-oriented,Cloned demand-driven open system,3347,8,SUV
93,LeSabre,1989,58226,16463,Yes,Self-enabling,Managed empowering parallelism,750,7,Sedan
94,5000CS,1988,35943,49501,5 Year,Intuitive,Streamlined multi-state artificial intelligence,815,2,Family
95,F350,1999,49723,29041,5 Year,Profit-focused,Distributed fault-tolerant intranet,3458,10,Luxury
96,Sonata,2003,88793,51563,3 Year,throughput,Implemented solution-oriented strategy,2053,3,Family
97,Aurora,1996,34834,93885,Yes,User-centric,Vision-oriented coherent middleware,4489,10,Sports
98,F250,1992,63729,8427,No,Reduced,Customizable object-oriented complexity,3436,4,Luxury
99,Rally Wagon 2500,1994,34319,64823,10 Year,moratorium,Innovative optimal secured line,4888,10,Family
100,Murciélago,2009,67103,14812,Yes,24/7,Pre-emptive composite instruction set,2044,8,Sports
101,Odyssey,2005,65084,22171,No,installation,Cross-platform 4th generation system engine,976,6,SUV
102,Camry,1998,57247,36701,No,Implemented,Devolved foreground Graphical User Interface,3349,6,SUV
103,Riviera,1995,31756,54823,No,challenge,Enterprise-wide holistic challenge,3864,3,Luxury
104,V8,1991,12967,8519,10 Year,policy,Multi-layered intangible alliance,3137,7,Sedan
105,Corrado,1991,81726,56096,5 Year,non-volatile,Profound demand-driven instruction set,3647,8,Sports
106,Bravada,2002,56278,82015,3 Year,Secured,Persevering needs-based firmware,3300,8,Luxury
107,MDX,2008,26808,18089,No,stable,Persevering coherent migration,1785,10,Sedan
108,Trooper,1999,40364,81118,3 Year,transitional,Multi-layered mobile project,1373,7,Sports
109,Truck,1987,59483,38626,No,24 hour,Implemented background alliance,2610,8,Sedan
110,GS,1998,59168,14233,3 Year,Future-proofed,Optimized cohesive core,4064,5,SUV
111,Supra,1996,69626,12697,3 Year,Streamlined,Universal multi-tasking application,3704,10,SUV
112,Sentra,1999,81505,53166,No,flexibility,Inverse systematic productivity,3273,1,Sedan
113,Focus,2000,63619,13388,3 Year,leverage,Grass-roots composite time-frame,3882,7,Sports
114,Odyssey,2006,91764,68075,10 Year,impactful,Reactive mission-critical collaboration,158,5,SUV
115,Discovery Series II,2000,64124,27903,No,Virtual,Implemented upward-trending productivity,807,7,Luxury
116,Suburban 2500,1996,17966,56938,5 Year,Multi-lateral,Centralized neutral methodology,2765,9,Family
117,Legacy,2010,76042,10990,10 Year,groupware,Synchronised asymmetric alliance,4259,4,Sports
118,Firefly,1991,86359,91993,3 Year,collaboration,Front-line homogeneous frame,2083,5,SUV
119,E250,2008,14731,22422,No,encryption,Horizontal client-server policy,4347,4,Luxury
120,XJ,2011,45751,59583,No,model,Centralized regional projection,344,7,SUV
121,430,1990,22762,68488,No,reciprocal,Re-contextualized non-volatile software,2145,9,Sedan
122,Accord,1983,24594,68706,5 Year,modular,Fundamental global orchestration,3852,9,Luxury
123,Voyager,2001,98927,27783,3 Year,Face to face,Secured discrete structure,4573,7,Sports
124,SLK-Class,2002,46903,25680,3 Year,project,Upgradable modular internet solution,2469,3,Luxury
125,CTS-V,2010,66639,56880,5 Year,hardware,Customer-focused upward-trending customer loyalty,1855,4,Sports
126,LTD Crown Victoria,1991,40138,99635,10 Year,Triple-buffered,Polarised background strategy,1367,4,Sports
127,Galant,2006,19107,51400,10 Year,Grass-roots,Robust uniform challenge,1845,5,SUV
128,M5,2003,32421,7952,10 Year,budgetary management,Inverse background throughput,4399,9,Luxury
129,Thunderbird,1987,79738,44844,3 Year,extranet,Open-architected zero tolerance toolset,2676,10,Sports
130,Grand Marquis,1995,82901,49282,5 Year,analyzer,Pre-emptive content-based task-force,3207,5,Family
131,Club Wagon,1998,57708,19274,No,matrices,Diverse impactful orchestration,4068,3,Sedan
132,MKS,2011,48026,68077,5 Year,portal,Quality-focused non-volatile utilisation,2044,2,Luxury
133,Endeavor,2005,30297,91338,5 Year,regional,Progressive client-server moratorium,2487,5,Luxury
134,Tucson,2005,72538,88919,10 Year,De-engineered,Reverse-engineered systematic projection,957,8,Family
135,Mountaineer,2001,81816,71780,10 Year,Optimized,Enhanced discrete monitoring,2030,5,Luxury
136,Sunfire,2002,75553,55783,Yes,pricing structure,Horizontal local knowledge base,2894,10,SUV
137,Econoline E250,1999,77004,84584,5 Year,fresh-thinking,Grass-roots 24 hour artificial intelligence,3341,1,Luxury
138,QX,2009,21709,9780,10 Year,system-worthy,Enhanced intangible time-frame,485,9,Sedan
139,Cavalier,2003,13834,93071,10 Year,maximized,Business-focused logistical migration,1756,8,Sedan
140,Escape,2012,78633,63427,5 Year,fault-tolerant,Stand-alone radical toolset,3979,4,Luxury
141,GX,2008,78544,93755,Yes,User-centric,Reactive explicit solution,2368,5,Sedan
142,Ram Van 2500,1995,33873,44401,No,Reduced,Persistent neutral functionalities,331,2,SUV
143,Regal,2012,84550,47961,3 Year,asynchronous,Optional contextually-based model,4596,3,Sedan
144,Camry,1992,80727,23913,5 Year,hierarchy,Fundamental asymmetric model,4127,7,Family
145,Pajero,2002,16926,11661,5 Year,Re-engineered,Quality-focused real-time collaboration,3830,7,Sports
146,SL-Class,1990,70681,96118,5 Year,ability,Triple-buffered 24/7 extranet,2908,2,Luxury
147,S4,2001,33131,26133,No,Cloned,Enterprise-wide regional circuit,962,1,SUV
148,Golf,2000,19457,12302,5 Year,Future-proofed,Multi-layered fault-tolerant extranet,1214,4,SUV
149,Continental Mark VII,1985,89257,43922,5 Year,Reduced,Intuitive holistic access,1522,9,SUV
150,Venza,2011,70974,93553,3 Year,Public-key,Fully-configurable bifurcated utilisation,2277,10,Sedan
151,SC,2007,95215,65042,No,Cross-platform,Ergonomic next generation system engine,213,8,Sedan
152,C8 Spyder Wide Body,2004,49568,91601,Yes,executive,Re-contextualized empowering paradigm,2824,9,SUV
153,Grand Voyager,1997,40973,45315,3 Year,contingency,Self-enabling real-time paradigm,166,5,Family
154,Blazer,1994,95638,91538,No,help-desk,Multi-tiered tangible moratorium,4823,2,Sports
155,Aurora,1995,95866,55204,Yes,human-resource,Advanced 5th generation conglomeration,3551,10,Sports
156,V40,2004,51919,39814,No,flexibility,Digitized bandwidth-monitored benchmark,1468,6,Luxury
157,Pajero,2004,27443,31855,3 Year,Reverse-engineered,Fundamental static encoding,2893,10,Family
158,LS,2004,21250,56168,10 Year,frame,Visionary high-level workforce,4414,9,Luxury
159,Nitro,2007,13963,25096,5 Year,parallelism,Progressive zero defect moratorium,4702,5,Luxury
160,Grand Marquis,1993,23512,85919,Yes,composite,Focused 3rd generation synergy,2123,3,Sedan
161,HS,2010,76403,55833,No,responsive,Organic secondary function,3051,1,Sports
162,FX,2003,13710,99781,5 Year,Fundamental,Compatible responsive challenge,2069,8,SUV
163,Sierra 3500,2001,42666,94190,5 Year,Innovative,Distributed intangible concept,937,9,Sports
164,Caliber,2010,82425,50658,3 Year,policy,Cross-group foreground ability,1250,4,Sedan
165,330,2005,43298,89051,Yes,data-warehouse,Customer-focused background policy,584,7,Sedan
166,IS,2004,89315,51110,10 Year,definition,Reactive full-range initiative,14,2,Luxury
167,1500 Club Coupe,1998,83450,43123,10 Year,motivating,Reverse-engineered asynchronous moderator,3164,3,Sedan
168,Silhouette,1993,42681,22939,5 Year,global,Horizontal interactive hierarchy,3518,8,Luxury
169,G-Class,2006,94023,55494,10 Year,website,Ergonomic holistic data-warehouse,897,3,Family
170,Passport,2001,21389,53288,5 Year,regional,Monitored scalable time-frame,1996,1,Sedan
171,C-Class,2000,37776,41588,3 Year,forecast,De-engineered 24 hour secured line,2221,2,Family
172,Ram 1500,2001,72360,80689,10 Year,3rd generation,Stand-alone object-oriented matrices,643,8,Sedan
173,GTO,2005,54581,52238,No,functionalities,Reactive upward-trending local area network,2343,6,Sports
174,Z8,2000,38998,19721,3 Year,synergy,Centralized non-volatile adapter,20,7,Family
175,Corvette,1969,48257,80207,3 Year,mission-critical,Stand-alone homogeneous portal,1102,8,Family
176,Comanche,1992,10962,38129,10 Year,heuristic,Seamless leading edge customer loyalty,2067,8,Family
177,Ghost,2010,47106,25164,10 Year,Switchable,Object-based didactic access,3909,7,Sedan
178,CX,1989,51699,23228,5 Year,Graphic Interface,Cross-platform heuristic challenge,4385,7,Family
179,C-Class,2011,27958,18372,5 Year,even-keeled,Ameliorated value-added approach,1985,7,Luxury
180,5 Series,2006,79192,59788,Yes,grid-enabled,De-engineered responsive encoding,4892,3,Family
181,LS,2004,82217,37728,10 Year,discrete,Synergistic bottom-line intranet,2781,1,Sports
182,V70,1998,57194,86779,10 Year,data-warehouse,Advanced zero tolerance throughput,610,3,Sedan
183,Navigator,2000,25851,31278,Yes,holistic,Multi-lateral 4th generation artificial intelligence,2644,5,Sports
184,Ridgeline,2006,44390,36750,No,open architecture,Focused mobile access,1770,10,Sedan
185,Cruze,2012,47211,31914,10 Year,Phased,Synergistic grid-enabled frame,3646,3,Sports
186,S60,2003,42447,54837,5 Year,encoding,Switchable web-enabled approach,1026,10,Luxury
187,Familia,1988,98506,79737,3 Year,clear-thinking,Innovative coherent artificial intelligence,3048,9,Luxury
188,Ascender,2004,77911,63126,5 Year,emulation,Digitized maximized framework,3199,8,Sports
189,RX,2008,84392,37745,No,help-desk,Open-source clear-thinking parallelism,3099,1,Luxury
190,ES,1994,29432,92012,3 Year,strategy,Assimilated cohesive leverage,2833,3,Sedan
191,LX,2008,61590,90722,5 Year,Horizontal,Grass-roots radical secured line,4594,2,SUV
192,Silverado 3500,2010,45919,34685,No,bifurcated,Innovative radical monitoring,3209,7,Sports
193,Corrado,1994,13583,27543,No,reciprocal,Self-enabling zero tolerance strategy,3738,6,Sports
194,Sable,1991,19047,94573,5 Year,upward-trending,Sharable radical superstructure,761,3,Sedan
195,S4,2006,55845,97969,3 Year,value-added,Assimilated 5th generation capability,395,5,SUV
196,Roadmaster,1995,19355,72835,Yes,asymmetric,Total 4th generation info-mediaries,4151,5,SUV
197,TT,2003,36030,41398,Yes,middleware,Compatible real-time orchestration,3199,1,SUV
198,Element,2007,74856,9094,10 Year,analyzing,Configurable uniform time-frame,1980,9,Sedan
199,90,1988,98010,96663,Yes,tangible,Digitized impactful task-force,4421,7,Family
200,Regal,1996,69251,41740,No,Integrated,Down-sized composite info-mediaries,1701,4,Sedan
201,Savana 3500,1999,88818,10827,5 Year,leading edge,Up-sized responsive analyzer,4296,5,SUV
202,Highlander,2012,76207,57993,No,extranet,Down-sized regional architecture,4471,8,SUV
203,Econoline E250,1996,68349,79410,Yes,scalable,Synergistic tangible application,4109,7,Sedan
204,Versa,2007,33424,24810,10 Year,Synchronised,Down-sized upward-trending definition,3742,4,Family
205,Savana 3500,2000,90507,92429,No,bifurcated,Diverse content-based emulation,3206,5,Family
206,Grand Prix,1980,62010,73075,5 Year,Enhanced,Organized 3rd generation installation,1520,10,Sedan
207,LeSabre,1998,43083,81573,3 Year,extranet,Visionary user-facing collaboration,4331,1,Sports
208,Escape,2005,81464,49132,3 Year,24/7,Configurable incremental infrastructure,535,1,Family
209,Titan,2011,89132,42464,10 Year,array,Re-engineered tertiary service-desk,4330,1,SUV
210,Yukon,2005,24641,43794,10 Year,radical,Secured methodical protocol,1968,7,SUV
211,Grand Marquis,2006,25351,77993,5 Year,upward-trending,Ergonomic static intranet,905,8,Family
212,525,2004,18147,85367,No,dynamic,Automated 5th generation collaboration,3353,7,Sports
213,STS-V,2006,33024,66917,10 Year,even-keeled,Profit-focused composite productivity,1048,7,SUV
214,Jetta,1994,39785,16390,5 Year,implementation,Organized next generation methodology,837,3,Sedan
215,LR2,2008,64149,93410,3 Year,Robust,Virtual bandwidth-monitored data-warehouse,4111,1,Sports
216,G25,2011,88220,72895,Yes,Ameliorated,Streamlined neutral functionalities,2295,4,Sedan
217,Galant,2000,24745,52838,10 Year,Reverse-engineered,Fully-configurable didactic customer loyalty,317,1,Sports
218,Celica,1976,67239,89960,5 Year,function,Sharable executive initiative,1226,10,Sports
219,SL-Class,2008,10404,86437,No,local,Multi-lateral didactic extranet,3017,9,Sedan
220,Prelude,1993,90546,76520,3 Year,Networked,Progressive impactful portal,4895,3,Sedan
221,57,2012,12578,36664,5 Year,Multi-channelled,Function-based user-facing contingency,403,7,Luxury
222,Mustang,1987,37607,50761,No,Multi-tiered,Profit-focused grid-enabled algorithm,729,6,Luxury
223,Breeze,1997,14669,24122,5 Year,Total,Adaptive executive emulation,3030,6,SUV
224,Rally Wagon 2500,1993,92012,22924,3 Year,actuating,Managed object-oriented algorithm,2610,3,Family
225,Ram,2009,26048,48999,No,dedicated,Customizable exuding synergy,3887,8,Sedan
226,Special,1962,44623,5046,10 Year,analyzing,Networked interactive concept,802,9,Luxury
227,DeVille,2000,53424,38324,Yes,6th generation,Robust fresh-thinking extranet,2314,6,Family
228,Evora,2010,57724,67899,Yes,fresh-thinking,Decentralized empowering product,4609,4,Family
229,Savana 1500,2002,97851,31687,10 Year,internet solution,Exclusive 4th generation migration,4230,9,Family
230,Savana 3500,1996,39905,47667,Yes,fresh-thinking,Extended composite core,1383,6,Sedan
231,350Z,2005,26220,58927,10 Year,firmware,Visionary 3rd generation application,3362,3,Sports
232,Savana Cargo Van,2006,30513,55280,5 Year,Automated,Enterprise-wide empowering benchmark,1630,2,Luxury
233,300,1999,76217,97548,Yes,local area network,Organized fresh-thinking neural-net,3086,9,Sports
234,EXP,1986,32637,92441,No,Organic,Enhanced foreground capability,4343,4,Sports
235,RX-7,1986,86420,81633,10 Year,help-desk,Profit-focused full-range customer loyalty,2828,3,SUV
236,Quest,1994,87476,20822,3 Year,local,Innovative zero administration contingency,3842,4,Sedan
237,Sequoia,2010,50945,83766,10 Year,attitude,Customer-focused upward-trending secured line,1115,9,SUV
238,Legacy,1992,42211,44514,10 Year,alliance,User-friendly multimedia help-desk,4131,9,SUV
239,Ridgeline,2010,70643,72162,5 Year,reciprocal,Monitored bandwidth-monitored algorithm,2147,6,SUV
240,Sonoma,2001,11497,41386,3 Year,stable,Re-contextualized maximized application,1715,5,Sedan
241,LS Hybrid,2010,78437,45395,No,Cross-group,Organic mobile system engine,1529,6,Sedan
242,SLK-Class,1997,35645,5293,Yes,throughput,Networked non-volatile conglomeration,3786,8,Sedan
243,Sierra 3500,2006,58993,79636,10 Year,Face to face,Balanced zero administration system engine,2920,7,Sports
244,3000GT,1997,41898,42129,3 Year,leverage,Seamless dynamic function,1699,8,SUV
245,NSX,2000,52855,54219,5 Year,context-sensitive,Intuitive next generation benchmark,2690,4,Sports
246,Prizm,1993,94056,70821,5 Year,contingency,Distributed static synergy,1743,9,Family
247,Spectra,2004,17640,63327,3 Year,next generation,Self-enabling upward-trending pricing structure,4984,3,Sedan
248,Pathfinder,1992,93000,5059,10 Year,Enhanced,Open-architected national extranet,417,4,SUV
249,TrailBlazer,2008,72398,84836,No,Profound,Optional content-based orchestration,3172,2,Sedan
